player_id,full_name
8445289.0,Charlie Burns
8445292.0,Robin Burns
8445295.0,Eddie Bush
8445296.0,Walt Buswell
8445297.0,Dick Butler
8445298.0,Frank Bathe
8445302.0,Mike Byers
8445303.0,Jack Caffery
8445305.0,Larry Cahan
8445307.0,Herb Cain
8445308.0,Francis Cain
8445310.0,Norm Calladine
8445313.0,Craig Cameron
8445314.0,Harry Cameron
8445315.0,Scotty Cameron
8445316.0,Bryan Campbell
8445318.0,Don Campbell
8445319.0,Earl Campbell
8445320.0,Tod Campeau
8445323.0,Ken Baumgartner
8445325.0,Steve Cardwell
8445326.0,George Carey
8445327.0,Wayne Carleton
8445328.0,Brian Carlin
8445329.0,Alain Caron
8445330.0,Ed Carpenter
8445332.0,Gene Carr
8445333.0,Lorne Carr
8445334.0,Gene Carrigan
8445335.0,Robin Bawa
8445338.0,Paul Baxter
8445343.0,Bill Carse
8445344.0,Bob Carse
8445345.0,Bill Carson
8445346.0,Frank Carson
8445347.0,Gerry Carson
8445349.0,Joe Carveth
8445350.0,Tom Cassidy
8445351.0,Ray Ceresino
8445352.0,John Chad
8445353.0,Sandy Beadle
8445358.0,Murph Chamberlain
8445360.0,Frank Beaton
8445362.0,Art Chapman
8445363.0,Bob Charlebois
8445364.0,Lude Check
8445366.0,Dick Cherry
8445371.0,Real Chevrefils
8445381.0,Don Beaupre
8445382.0,Stephane Beauregard
8445384.0,Rick Bennett
8445385.0,Bob Beers
8445386.0,Ed Belfour
8445388.0,Jim Bedard
8445395.0,Eddy Beers
8445397.0,Barry Beck
8445399.0,John Bednarski
8445400.0,Curt Bennett
8445403.0,Yves Belanger
8445408.0,Jean Beliveau
8445410.0,Roger Belanger Jr.
8445413.0,Drake Berehowsky
8445414.0,Bill Bennett
8445415.0,Neil Belland
8445416.0,Jim Benning
8445417.0,Brian Bellows
8445418.0,Bruce Bell
8445419.0,Brian Benning
8445421.0,Todd Bergen
8445423.0,Benoit Hogue
8445424.0,Bill Berg
8445427.0,Perry Berezan
8445428.0,Marc Bergevin
8445430.0,Michel Bergeron
8445434.0,Bo Berglund
8445435.0,Mike Berger
8445436.0,Jonas Bergqvist
8445437.0,Tim Bergland
8445438.0,Jean Claude Bergeron
8445439.0,Lex Chisholm
8445440.0,Craig Berube
8445443.0,Brad Berry
8445445.0,Thommie Bergman
8445446.0,Serge Bernier
8445449.0,Tim Bernhardt
8445451.0,Doug Berry
8445455.0,Ken Berry
8445456.0,Nick Beverley
8445457.0,Marc Behrend
8445458.0,Allan Bester
8445460.0,Wayne Bianchin
8445461.0,Jeff Beukeboom
8445462.0,Daniel Berthiaume
8445463.0,Don Biggs
8445465.0,Bob Chrystal
8445467.0,Jack Church
8445468.0,Hank Ciesla
8445470.0,Craig Billington
8445471.0,King Clancy
8445473.0,Terry Clancy
8445474.0,Dit Clapper
8445477.0,Todd Bidner
8445492.0,Scott Bjugstad
8445493.0,James Black
8445496.0,Odie Cleghorn
8445497.0,Sprague Cleghorn
8445499.0,Bruce Cline
8445501.0,Gary Coalter
8445505.0,Bill Collins
8445507.0,Bob Collyard
8445508.0,Mac Colville
8445509.0,Neil Colville
8445510.0,Les Colwill
8445511.0,Brian Conacher
8445512.0,Charlie Conacher
8445513.0,Jim Conacher
8445514.0,Lionel Conacher
8445515.0,Pete Conacher
8445517.0,Roy Conacher
8445518.0,Red Conn
8445520.0,Tom Bladon
8445521.0,Wayne Connelly
8445523.0,Bert Connelly
8445525.0,Harry Connor
8445526.0,Bob Connors
8445527.0,Eddie Convey
8445529.0,Bill Cook
8445530.0,Bob Cook
8445533.0,Bud Cook
8445535.0,Fred Cook
8445536.0,Lloyd Cook
8445537.0,Tom Cook
8445541.0,Carson Cooper
8445543.0,Joe Cooper
8445546.0,Mike Blaisdell
8445547.0,Bob Copp
8445550.0,Rob Blake
8445551.0,Mike Blake
8445555.0,Jeff Bloemberg
8445557.0,Timo Blomqvist
8445558.0,Rick Blight
8445559.0,John Blum
8445568.0,Doug Bodger
8445571.0,Bert Corbeau
8445573.0,Norm Corcoran
8445575.0,Peter Bondra
8445579.0,Chuck Corrigan
8445580.0,Rick Boh
8445582.0,Serge Boisvert
8445584.0,Fred Boimistruck
8445590.0,Mike Boland
8445591.0,Ivan Boldirev
8445599.0,Dan Bolduc
8445600.0,J.P. Bordeleau
8445601.0,Paulin Bordeleau
8445602.0,Dan Bonar
8445603.0,Laurie Boschman
8445604.0,Tim Bothwell
8445609.0,Dan Bouchard
8445611.0,Mike Bossy
8445612.0,Pierre Bouchard
8445613.0,Bruce Boudreau
8445614.0,Mike Corrigan
8445615.0,Rick Bourbonnais
8445617.0,Bob Bourne
8445618.0,Pat Boutette
8445619.0,Rollie Boutin
8445621.0,Ray Bourque
8445623.0,Charlie Bourgeois
8445625.0,Paul Boutilier
8445626.0,Mark Botell
8445628.0,Dan Bourbonnais
8445629.0,Phil Bourque
8445637.0,Les Costello
8445638.0,Murray Costello
8445643.0,Rick Bowness
8445644.0,Charlie Cotch
8445648.0,Baldy Cotton
8445653.0,Randy Boyd
8445655.0,Greg Brown
8445657.0,Neil Brady
8445659.0,Philippe Bozon
8445662.0,Steve Bozek
8445666.0,Curt Brackenbury
8445667.0,Rick Bragnalo
8445672.0,Brian Bradley
8445676.0,Ken Breitenbach
8445677.0,Per-Olov Brasar
8445683.0,Andy Brickley
8445685.0,Mel Bridgman
8445689.0,Rob Brown
8445690.0,Bob Brooke
8445693.0,Mario Brunetta
8445694.0,Richard Brodeur
8445695.0,Gary Bromley
8445696.0,Carl Brewer
8445700.0,Jeff Brown
8445704.0,Gord Brooks
8445710.0,Larry Brown
8445712.0,Dave Brown
8445713.0,Keith Brown
8445719.0,Jack Brownschidle
8445722.0,Murray Brumwell
8445723.0,Jeff Brubaker
8445724.0,Neal Broten
8445725.0,Aaron Broten
8445727.0,Jiri Bubla
8445728.0,David Bruce
8445729.0,Paul Brydges
8445730.0,Doug Brown
8445733.0,Kelly Buchberger
8445734.0,Benoit Brunet
8445735.0,Rod Brind'Amour
8445736.0,Paul Broten
8445738.0,Francis Breault
8445739.0,Patrice Brisebois
8445740.0,Jack Coughlin
8445742.0,Art Coulter
8445744.0,Billy Coutu
8445745.0,Gerry Couture
8445746.0,Rosie Couture
8445749.0,Bruce Cowick
8445752.0,Randy Bucyk
8445754.0,Bill Cowley
8445762.0,Danny Cox
8445764.0,Bart Crashley
8445767.0,Jack Crawford
8445769.0,Sean Burke
8445771.0,Mike Bullard
8445773.0,Ted Bulley
8445775.0,Marc Bureau
8445783.0,Adam Burt
8445787.0,Gary Burns
8445789.0,Shawn Burr
8445790.0,Randy Burridge
8445792.0,Dave Burrows
8445793.0,Nelson Burton
8445796.0,Rod Buskas
8445798.0,Mike Busniuk
8445802.0,Rusty Crawford
8445803.0,Garth Butcher
8445805.0,Dave Creighton
8445806.0,Jimmy Creighton
8445807.0,Dave Cressman
8445808.0,Jerry Butler
8445810.0,Bill Butters
8445814.0,John Byce
8445816.0,Terry Crisp
8445820.0,Jerry Byers
8445821.0,Lyndon Byers
8445824.0,Nels Crutchfield
8445825.0,Barry Cullen
8445826.0,Brian Cullen
8445827.0,Ray Cullen
8445828.0,Barry Cummins
8445830.0,Les Cunningham
8445831.0,Bill Cupolo
8445833.0,Floyd Curry
8445834.0,Paul Curtis
8445835.0,Ian Cushenan
8445838.0,Cully Dahlstrom
8445841.0,Bunny Dame
8445842.0,Hank Damore
8445843.0,Harold Darragh
8445844.0,Jack Darragh
8445846.0,Bob Davidson
8445847.0,Gord Davidson
8445851.0,Lorne Davis
8445853.0,Bob Dawes
8445854.0,Hap Day
8445855.0,Billy Dea
8445856.0,Don Deacon
8445857.0,Butch Deadmarsh
8445859.0,Brett Callighen
8445860.0,Drew Callander
8445861.0,Jock Callander
8445862.0,Nelson Debenedet
8445865.0,Alex Delvecchio
8445866.0,Ab DeMarco
8445867.0,Ab DeMarco
8445868.0,Tony Demers
8445873.0,Corb Denneny
8445874.0,Cy Denneny
8445875.0,Norm Dennis
8445877.0,Al Cameron
8445878.0,Dave Cameron
8445884.0,Joffre Desilets
8445885.0,Vic Desjardins
8445888.0,Al Dewsbury
8445891.0,Marcel Dheere
8445893.0,Colin Campbell
8445900.0,Scott Campbell
8445901.0,Wade Campbell
8445902.0,Ernie Dickens
8445903.0,Herb Dickenson
8445904.0,Bob Dill
8445906.0,Bob Dillabough
8445908.0,Cecil Dillon
8445909.0,Bill Dineen
8445911.0,Chuck Dinsmore
8445918.0,Dave Capuano
8445919.0,Frank Caprice
8445920.0,Terry Carkner
8445926.0,John Doran
8445931.0,Steve Carlson
8445932.0,Jack Carlson
8445936.0,Kent Carlson
8445937.0,Anders Carlsson
8445938.0,Randy Carlyle
8445939.0,Lloyd Doran
8445940.0,Ken Doraty
8445943.0,Gary Dornhoefer
8445945.0,Kent Douglas
8445946.0,Les Douglas
8445950.0,Gordie Drillon
8445953.0,Polly Drouin
8445955.0,Herb Drury
8445956.0,Gilles Dube
8445957.0,Dick Duff
8445958.0,Marc Dufour
8445960.0,Lorne Duguid
8445961.0,Woody Dumart
8445962.0,Art Duncan
8445964.0,Denis Dupere
8445965.0,Steve Durbano
8445966.0,Jacques Caron
8445967.0,Norm Dussault
8445968.0,Duke Dukowski
8445969.0,Red Dutton
8445972.0,Babe Dye
8445977.0,Bobby Carpenter
8445979.0,Jimmy Carson
8445980.0,Larry Carriere
8445981.0,Greg Carroll
8445983.0,Billy Carroll
8445989.0,John Carter
8445995.0,Jack Dyte
8445998.0,Tim Ecclestone
8445999.0,Frank Eddolls
8446002.0,Wayne Cashman
8446003.0,Andrew Cassels
8446004.0,Garry Edmundson
8446007.0,Lindsay Carson
8446011.0,Jon Casey
8446013.0,Jay Caufield
8446014.0,Paul Cavallini
8446017.0,Gino Cavallini
8446018.0,Bruce Cassidy
8446019.0,Tony Cassolato
8446023.0,Dave Chyzowski
8446026.0,Tom Chorske
8446029.0,John Chabot
8446034.0,Frantisek Cernik
8446035.0,Blair Chapman
8446036.0,Guy Carbonneau
8446039.0,Todd Charlesworth
8446042.0,Shawn Chambers
8446043.0,Jose Charbonneau
8446044.0,Guy Charron
8446047.0,Rick Chartraw
8446050.0,Jeff Chychrun
8446051.0,Steve Chiasson
8446052.0,Alain Chevrier
8446053.0,Chris Chelios
8446054.0,Richard Chernomaz
8446057.0,Guy Chouinard
8446058.0,Mike Christie
8446061.0,Marc Chorney
8446062.0,Joe Cirella
8446063.0,Dino Ciccarelli
8446065.0,Steve Christoff
8446068.0,Ron Chipperfield
8446071.0,Shane Churla
8446072.0,Christopher Cichocki
8446074.0,Dan Chicoine
8446076.0,Jiri Crha
8446079.0,Dave Christian
8446081.0,Dean Chynoweth
8446082.0,Tim Cheveldae
8446083.0,Rob Cimetta
8446084.0,Neal Coulter
8446085.0,Wendel Clark
8446089.0,Jacques Cloutier
8446098.0,Bobby Clarke
8446100.0,Bill Clement
8446101.0,Real Cloutier
8446103.0,Steve Clippingdale
8446104.0,Roland Cloutier
8446105.0,Stephen Coates
8446111.0,Glen Cochrane
8446117.0,Paul Coffey
8446120.0,Rey Comeau
8446125.0,Kelly Chase
8446127.0,Danton Cole
8446129.0,Pat Conacher
8446133.0,Zdeno Ciger
8446134.0,Frederic Chabot
8446135.0,Pat Egan
8446141.0,Jack Egers
8446142.0,Gerry Ehman
8446144.0,Fred Elliott
8446147.0,Cam Connor
8446149.0,Joe Contini
8446152.0,Hap Emms
8446154.0,Jerry Engele
8446155.0,Aut Erickson
8446159.0,Tim Coulis
8446162.0,Ed Cooper
8446163.0,Yvon Corriveau
8446165.0,Bob Corkum
8446166.0,Jim Corsi
8446167.0,Shayne Corson
8446168.0,Ross Cory
8446170.0,Jacques Cossette
8446171.0,Rich Costello
8446172.0,Grant Erickson
8446173.0,Jack Evans
8446174.0,Paul Evans
8446177.0,Alain Cote
8446178.0,Alain Cote
8446181.0,Sylvain Cote
8446182.0,Stewart Evans
8446184.0,Bill Ezinicki
8446187.0,Bill Fairbairn
8446189.0,Bob Falkenberg
8446194.0,Gordie Fashoway
8446195.0,Alex Faulkner
8446196.0,Tony Featherstone
8446197.0,Lorne Ferguson
8446199.0,Sylvain Couturier
8446200.0,Yvan Cournoyer
8446203.0,Yves Courteau
8446205.0,Geoff Courtnall
8446208.0,Russ Courtnall
8446210.0,Craig Coxe
8446212.0,Jim Craig
8446213.0,Mike Craig
